alpha,threads_case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
0,1_2_3,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,212.75,12.774486291041217,201.0,234.0,38496.0,7295.508755391909,30912.0,50432.0,0.32356305487316855,0.019235877739468988,0.3059360730593607,0.3556231003039514,0.3377710029936465,0.0059565455171004455,0.3283941567621341,0.3440251572327044,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_2_3,1,2,100,4,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,234.75,31.712576369636068,201.0,278.0,37008.75,5984.332685228989,28864.0,45270.0,0.357039920796843,0.0482916951649955,0.3059360730593607,0.4231354642313546,0.32616030363675824,0.015758656428210206,0.30660760728218467,0.3426690251572327,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_2_3,2,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,210.0,27.230497608380205,178.0,251.0,38421.0,8187.219644054995,31882.0,51946.0,0.31939702432998845,0.041481989030168955,0.2709284627092846,0.3820395738203957,0.3360686933695952,0.015311637771282204,0.3133058176100629,0.3518232553099263,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,224.75,7.084313657652377,215.0,232.0,36614.75,1463.3798848897711,34752.0,38848.0,0.34168121455058476,0.010310730761928644,0.3277439024390244,0.3525835866261398,0.33098204236326656,0.005830076394449794,0.3224330376822839,0.3376865671641791,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,1,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,208.5,20.414455662593603,180.0,236.0,37624.0,2690.2777737624046,33088.0,40116.0,0.3170388947842737,0.03153893396747151,0.2731411229135053,0.3597560975609756,0.3396027452033589,0.011436864952260647,0.3215174129353234,0.35220667579502896,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_3_5,2,5,100,4,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,224.5,17.698870020427858,205.0,248.0,36427.0,1395.865681217215,35072.0,38400.0,0.3412798906651415,0.02644829275756892,0.3125,0.37632776934749623,0.32941521243337446,0.01029677182157151,0.3187370215544211,0.3407960199004975,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,0,1,100,3,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,220.33333333333334,2.3570226039551585,217.0,222.0,34965.333333333336,1414.128078436399,33472.0,36864.0,0.33587167529022327,0.0032952330765474228,0.33129770992366414,0.33893129770992364,0.33096650564741553,0.0007409196595275422,0.3299264324198543,0.3315966725195015,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,1,5,100,3,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,224.33333333333334,24.796953217863056,199.0,258.0,34897.333333333336,873.1954089562212,33902.0,36028.0,0.3418950168990773,0.03704595657687661,0.30381679389312977,0.39209726443769,0.3308097363863976,0.01451865882044389,0.31111389550181684,0.34568185525267936,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,1_5_7,2,7,100,3,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,211.33333333333334,24.073960113690383,178.0,234.0,35792.666666666664,3051.401463080348,33635.0,40108.0,0.32223330781069937,0.0373261793077176,0.270516717325228,0.35725190839694654,0.33822375796618687,0.015250025826589107,0.3227214722278192,0.3589596720783289,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,0,2,100,3,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,225.0,5.887840577551898,219.0,233.0,35318.666666666664,1104.2721081730213,33764.0,36224.0,0.3438455705085452,0.008336716552886312,0.33537519142419603,0.3551829268292683,0.3264172210392667,0.0025251948986098603,0.32285804048292266,0.3284499698437713,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,1,6,100,3,6.0,0.0,6.0,6.0,100.0,0.0,100.0,100.0,222.33333333333334,3.7712361663282534,217.0,225.0,36374.333333333336,1439.7083809654725,34340.0,37464.0,0.3397852130188976,0.005679917733279688,0.3318042813455658,0.3445635528330781,0.3360655456128692,0.001560708368464328,0.3340531916963365,0.33785692299335496,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,2_6_11,2,11,100,3,11.0,0.0,11.0,11.0,100.0,0.0,100.0,100.0,207.0,6.683312551921141,198.0,214.0,36527.333333333336,1366.4246127109327,34694.0,37973.0,0.3163692164725573,0.010688286029717635,0.3018292682926829,0.327217125382263,0.3375172333478641,0.0027173442593289112,0.33419942421553894,0.3408554373681612,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,3_8_13,0,3,100,3,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,211.33333333333334,3.2998316455372216,209.0,216.0,33667.0,7009.181454825282,23763.0,38974.0,0.3238171410648475,0.006003726359827436,0.3195718654434251,0.3323076923076923,0.3354494703506215,0.0007352150655054502,0.3346276279427712,0.3364119738977316,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,3_8_13,1,8,100,3,8.0,0.0,8.0,8.0,100.0,0.0,100.0,100.0,223.33333333333334,8.73053390247253,211.0,230.0,32919.333333333336,6470.040202519782,23779.0,37854.0,0.3421500823335686,0.01241460747255392,0.32461538461538464,0.3516819571865443,0.32898195051741047,0.0047104042517024484,0.32466680659040825,0.3355345778831365,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0,3_8_13,2,13,100,3,13.0,0.0,13.0,13.0,100.0,0.0,100.0,100.0,218.0,3.559026084010437,215.0,223.0,33770.0,7384.363795660846,23327.0,39024.0,0.3340327766015839,0.0064255707448633535,0.3287461773700306,0.34307692307692306,0.335568579131968,0.004800260868530176,0.3291566129055017,0.34070556546682057,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_2_3,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,214.75,9.283722313813572,202.0,227.0,37486.0,1187.648096028449,35768.0,38592.0,0.32649963051678554,0.014301036703315164,0.3074581430745814,0.34603658536585363,0.335996004541461,0.006223773041603167,0.3298961465385254,0.34615636550788376,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_2_3,1,2,100,4,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,244.25,18.498310733685926,222.0,264.0,35653.5,1981.0489014660895,33342.0,38740.0,0.37136095192722773,0.028363776653829796,0.33687405159332323,0.4024390243902439,0.31936454936406206,0.010473456253095656,0.3075206138975485,0.33347106015218814,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_2_3,2,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,198.75,24.1699710384601,165.0,225.0,38462.25,2030.8040741292598,35121.0,40576.0,0.3021394175559867,0.03656312836875296,0.25152439024390244,0.3424657534246575,0.34463944609447694,0.013727238829190688,0.3286482945772704,0.36258323956392613,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_3_5,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,222.25,12.336429791475327,203.0,234.0,35897.5,1390.5275078185257,33920.0,37286.0,0.3381700157510381,0.019091814078825098,0.30851063829787234,0.3561643835616438,0.331802761906396,0.0050815014367045904,0.32688429599232105,0.339447796891731,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_3_5,1,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,217.0,19.45507645834372,189.0,238.0,36215.25,2828.85368789197,32745.0,39598.0,0.3301386270345091,0.029311715043255273,0.2876712328767123,0.3617021276595745,0.3340625642640209,0.009475252322033959,0.32324387684687156,0.34783907238229095,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_3_5,2,5,100,4,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,218.0,12.389511693363866,200.0,234.0,36165.0,1794.3146323875308,33262.0,38114.0,0.33169135721445275,0.01894773242788347,0.303951367781155,0.3561643835616438,0.3341346738295831,0.006711395694782761,0.3246310611384399,0.3434070348908656,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_5_7,0,1,100,3,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,215.33333333333334,17.30767331432956,196.0,238.0,35505.0,1215.1973776579123,33792.0,36481.0,0.32905868004005784,0.026084020013269364,0.3001531393568147,0.36335877862595417,0.33399183432993573,0.007915354753823236,0.3237048946052162,0.3429580538104759,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_5_7,1,5,100,3,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,225.0,16.753109164172084,204.0,245.0,35070.666666666664,2544.20142459061,32366.0,38478.0,0.3438637098691107,0.025603130782679756,0.3114503816793893,0.37404580152671757,0.329350942473636,0.011359777956022325,0.3158910631726978,0.3436763129689175,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_5_7,2,7,100,3,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,214.0,13.490737563232042,198.0,231.0,35853.666666666664,2478.1170719363163,32373.0,37948.0,0.3270776100908315,0.02105152594728602,0.30229007633587784,0.3537519142419602,0.33665722319642827,0.008742423471416145,0.3285564949102313,0.34879638225318715,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,0,2,100,3,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,234.0,6.97614984548545,226.0,243.0,33462.0,3371.575398336313,28713.0,36206.0,0.3576041678843778,0.010250798240518593,0.3460949464012251,0.3709923664122137,0.323084842673831,0.0027766133700024564,0.31923466913547593,0.3256781326330095,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,1,6,100,3,6.0,0.0,6.0,6.0,100.0,0.0,100.0,100.0,216.66666666666666,2.6246692913372702,213.0,219.0,34583.333333333336,3470.8917522094457,29719.0,37585.0,0.3311208008447993,0.0035440812382115366,0.32618683001531396,0.33435114503816793,0.33392230404893153,0.0018375883274821159,0.33139355464444736,0.33570549098015295,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,2,11,100,3,11.0,0.0,11.0,11.0,100.0,0.0,100.0,100.0,203.66666666666666,8.576453553512405,193.0,214.0,35569.333333333336,4017.6320001823074,30095.0,39624.0,0.3112750312708229,0.013497966308209609,0.29465648854961835,0.327718223583461,0.3429928532772375,0.004512228650548449,0.33965400084479624,0.3493717762200767,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,0,3,100,3,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,208.33333333333334,8.013876853447538,197.0,214.0,32042.666666666668,6819.1959121944055,22912.0,39296.0,0.3190551351249783,0.012624071469366033,0.3012232415902141,0.32872503840245776,0.33441385420225,0.004878213028408373,0.3295220836749076,0.34107262201314087,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,1,8,100,3,8.0,0.0,8.0,8.0,100.0,0.0,100.0,100.0,218.66666666666666,7.039570693980958,211.0,228.0,31993.333333333332,6689.355939766465,22925.0,38861.0,0.33488822183702327,0.011476909057940923,0.32262996941896027,0.35023041474654376,0.3341133262650596,0.0032157589253264036,0.3297090506392832,0.33729700641420673,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,2,13,100,3,13.0,0.0,13.0,13.0,100.0,0.0,100.0,100.0,226.0,15.253414918196734,209.0,246.0,31535.333333333332,5696.483203599295,23694.0,37056.0,0.3460566430379985,0.02278016994781794,0.3210445468509985,0.3761467889908257,0.3314728195326904,0.007822804502682657,0.3216303715726524,0.3407688656858092,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,215.5,9.313968005098578,202.0,228.0,37120.0,1199.8933285921712,35264.0,38592.0,0.3277632047669937,0.014313415048602004,0.3069908814589666,0.3470319634703196,0.333880834995939,0.0038198740286167912,0.32837755012695913,0.33900210822206606,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,1,2,100,4,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,235.5,17.613914953808536,215.0,258.0,36291.25,1216.0249534857417,35520.0,38395.0,0.35819477407206934,0.027052802526599088,0.32674772036474165,0.3926940639269406,0.32656781699793225,0.010482090791031068,0.31242448121880745,0.3372716092761771,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,2,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,206.5,25.947061490658243,171.0,241.0,37765.75,2186.1632344132036,35025.0,41024.0,0.31404202116093693,0.039252221559705085,0.2602739726027397,0.3662613981762918,0.33955134800612874,0.013558960495443273,0.32372628250175683,0.3591979686542334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_3_5,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,125.75,17.268106439329124,108.0,144.0,30664.75,2363.5849228449565,27776.0,33152.0,0.19152617681998738,0.02615754413222271,0.16463414634146342,0.2191780821917808,0.2736419261645845,0.008810265495688752,0.26338142413167703,0.28500197726999194,0.25,0.0,0.25,0.25
50,1_3_5,1,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,181.0,39.05764969887461,125.0,220.0,26623.0,1992.4665618273245,24192.0,28864.0,0.27571741470839367,0.05953486850791095,0.1902587519025875,0.3353658536585366,0.2385933310945641,0.023112321287766906,0.21388536873708294,0.27186668076231846,0.25,0.0,0.25,0.25
50,1_3_5,2,5,100,4,5.0,0.0,5.0,5.0,200.0,0.0,200.0,200.0,349.75,38.32998173753804,298.0,390.0,54630.5,4269.470605356126,47987.0,59597.0,0.532756408471619,0.05842708497479827,0.4535768645357686,0.593607305936073,0.48776474274085135,0.02404988119584775,0.4611873023805634,0.5161360881492486,0.5,0.0,0.5,0.5
